Adress;Postnr;Postort;Nytt Postnr;Ny Postort
Ekhult 1;57010;KORSBERGA;57475;KORSBERGA
Vingavägen 7F;35263;VÄXJÖ;35265;VÄXJÖ
Gårdsjövägen 10;29060;KYRKHULT;29374;KYRKHULT
Kävsta 161;86040;INDAL;85597;INDAL
Bergviksvägen 9;82070;BERGSJÖ;82950;BERGSJÖ
Kvarsätt 344;85590;SUNDSVALL;85591;SUNDSVALL
Stationsvägen 3;38053;FLISERYD;38473;FLISERYD
Kallviken 805;93010;LÖVÅNGER;93293;LÖVÅNGER
Bäckabyvägen 25;57013;MYRESJÖ;57471;MYRESJÖ
Norra Hötoftavägen 100-11;23592;VELLINGE;23594;VELLINGE
Koldemo 4082;82010;ARBRÅ;82162;ARBRÅ
Dingelvik Västra Mon 13;66010;DALS LÅNGED;66694;DALS LÅNGED
Almqvists väg 15E;36047;VÄRENDS NÖBBELE;35574;VÄRENDS NÖBBELE
Näsberg Losvägen 231;82042;KORSKROGEN;82772;KORSKROGEN
Björkgatan 17;57002;STOCKARYD;57694;STOCKARYD
Lövkojevägen 3;52333;ULRICEHAMN;52340;ULRICEHAMN
Oxsand 868;82077;GNARP;82962;GNARP
Ed Blixtgatan 4;82042;KORSKROGEN;82772;KORSKROGEN
Rörvägen 60;86030;SÖRBERGE;86143;SÖRBERGE
Håknatorp 3;57001;RÖRVIK;57693;RÖRVIK
Åkerby 41;36053;SKRUV;36594;SKRUV
Stakholmen 18;82078;HASSELA;82998;HASSELA
Bäckebovägen 36;38044;ALSTERBRO;38274;ALSTERBRO
Ängratörnsvägen 115;82042;KORSKROGEN;82772;KORSKROGEN
Björkåsen 135;93010;LÖVÅNGER;93293;LÖVÅNGER
Lycksjön 209;86013;STÖDE;86496;STÖDE
Ryet 2486;28023;HÄSTVEDA;28276;HÄSTVEDA
Blåpannevägen 4;36023;ÄLMEBODA;36298;ÄLMEBODA
Mastvägen 19;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Slätterne 21;82070;BERGSJÖ;82953;BERGSJÖ
Växjövägen 5;36043;ÅRYD;35575;ÅRYD
Örnebäcksvägen 10;38053;FLISERYD;38473;FLISERYD
Postvägen 117;82022;SANDARNE;82673;SANDARNE
Gäddlyckevägen 36;37043;STURKÖ;37361;STURKÖ
Köpmangatan 11A;82060;DELSBO;82471;DELSBO
Gyllenvägen 18;86013;STÖDE;86441;STÖDE
Ursula Printz gata 4;13450;GUSTAVSBERG;13451;GUSTAVSBERG
Carl Fredrik Waerns väg 8;66010;DALS LÅNGED;66694;DALS LÅNGED
Såggatan 11;28072;KILLEBERG;28376;KILLEBERG
Acksjön 386;66060;MOLKOM;65598;MOLKOM
Dahlbergsvägen 14;82041;FÄRILA;82762;FÄRILA
Gamla landsvägen 6;82040;JÄRVSÖ;82750;JÄRVSÖ
Bäckaby stockegård 1;57010;KORSBERGA;57475;KORSBERGA
Samuels väg 1B;43278;TVÅÅKER;43279;TVÅÅKER
Ede strandväg 2;82040;JÄRVSÖ;82753;JÄRVSÖ
Frubacka 205;66050;VÅLBERG;66494;VÅLBERG
Ellavägen 37;28010;SÖSDALA;28272;SÖSDALA
Rönnvägen 7;66011;BILLINGSFORS;66641;BILLINGSFORS
Svågavägen 41;82062;BJURÅKER;82478;BJURÅKER
Strömbackavägen 20;82062;BJURÅKER;82478;BJURÅKER
Övre Bölegatan 12;82023;BERGVIK;82668;BERGVIK
Glombo 114;82060;DELSBO;82472;DELSBO
Borred 112;52026;TRÄDET;52378;TRÄDET
Vikenvägen 35;82046;RAMSJÖ;82776;RAMSJÖ
Östvedavägen 95;81040;HEDESUNDA;81896;HEDESUNDA
Bobinvägen 12;38044;ALSTERBRO;38273;ALSTERBRO
Skällsta 112;86040;INDAL;85597;INDAL
Förnebovägen 58A;82040;JÄRVSÖ;82754;JÄRVSÖ
Blacke 640;93010;LÖVÅNGER;93293;LÖVÅNGER
Svedbro 503;82077;GNARP;82961;GNARP
Karlsfors Kårbölevägen 222;82050;LOS;82770;LOS
Bogatan 10;82040;JÄRVSÖ;82753;JÄRVSÖ
Skatelöv Mellangård 1;34032;GRIMSLÖV;34255;GRIMSLÖV
